image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1febacc553c148b21f3f8f8e0a,https://open.spotify.com/show/6NNAtJeQwX8BtvDdIGuKBb,Brooke and Jeffrey: Phone Taps,iHeartPodcasts
https://i.scdn.co/image/ab67656300005f1f6ed999478e90b38c4451f0af,https://open.spotify.com/show/3i0INt23NhOLYIzf6hbvuA,Deluxe,Adrian rown
https://i.scdn.co/image/ab67656300005f1f705895ec172b970fdb9f018f,https://open.spotify.com/show/6aB0v6amo3a8hgTCjlTlvh,The Startup Ideas Podcast,Greg Isenberg
https://i.scdn.co/image/ab67656300005f1f313cac33a04d181b18f15105,https://open.spotify.com/show/2BOCIeSEwqtYZxypUBODfQ,FidelityConnects,Fidelity Canada
https://i.scdn.co/image/ab67656300005f1f0c6401031d9de54ae3c92e39,https://open.spotify.com/show/6bo1EK9sElQV8DqzO0HLac,ICYMI,Slate Podcasts
https://i.scdn.co/image/ab67656300005f1f796fdb05053125c08038607f,https://open.spotify.com/show/4vk2MfVMEAuOnTWUOz6lnE,Sharp Tech with Ben Thompson,Andrew Sharp and Ben Thompson
https://i.scdn.co/image/ab67656300005f1f085cd77f2c2f9287796c5028,https://open.spotify.com/show/6EBVhJvlnOLch2wg6eGtUa,The TED AI Show,TED
https://i.scdn.co/image/ab67656300005f1f25ffb53a6a1f9e7ae7f99fbc,https://open.spotify.com/show/1jRACH7L8EQCYKc5uW7aPk,Stratechery,Ben Thompson
https://i.scdn.co/image/ab67656300005f1f2d87be2184e1547eff13e327,https://open.spotify.com/show/3fVsAvmfcWrcOgrXdACJAF,Discover Crypto,HIT Network
https://i.scdn.co/image/ab67656300005f1f3ea3f23a6f07a4fc2287c443,https://open.spotify.com/show/5jUP3JVhvn8o4KhH0UI6CQ,Eat Your Crust,"Crystal Jiao, Jeesoo Kim"
https://i.scdn.co/image/ab67656300005f1fe0f9ca25e7690b70a571b327,https://open.spotify.com/show/69AABOXxSynCpfFzwIYK9v,The Bitcoin Layer,The Bitcoin Layer
https://i.scdn.co/image/ab67656300005f1fa06ed4e780ae907c337c0f2e,https://open.spotify.com/show/6EVaCucTjIPmJosh3jQui0,The Artificial Intelligence Show,Paul Roetzer and Mike Kaput
https://i.scdn.co/image/ab67656300005f1f2738b362de8d55078d5cddd5,https://open.spotify.com/show/789fA35XhgcqPH0sjcpLu8,Barron's Streetwise,Barron's
https://i.scdn.co/image/ab67656300005f1f067c80b2266b652a641f1d0f,https://open.spotify.com/show/2jIiq1FqmrfZJUfaaUtZNq,Erm what the flip,darkvipera0
https://i.scdn.co/image/ab67656300005f1f0d29583a640a59b2feebcce0,https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1,ColdFusion,ColdFusion
https://i.scdn.co/image/ab67656300005f1fa33c4420a5195a450d5b876e,https://open.spotify.com/show/5aFQRzcZh7jnmVZ55l4cNS,Disruptors,"RBC Thought Leadership, John Stackhouse"
https://i.scdn.co/image/ab67656300005f1fb735c618958ccf415d4fcbde,https://open.spotify.com/show/1qOwNLLWOXBenvQ4smdABB,Undecided with Matt Ferrell,Matthew Ferrell
https://i.scdn.co/image/ab67656300005f1fddc458f4d13b10398496e551,https://open.spotify.com/show/1QlbveZv5f9T0lo4qu8pkU,Million Bazillion,Marketplace
https://i.scdn.co/image/ab67656300005f1fc1bc9ffdc0c042a84f6408dc,https://open.spotify.com/show/2V2I40d9pYiqaHo4h1q7Hb,Preston,Preston
