image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1fc81b3f36b6336d0093821741,https://open.spotify.com/show/03pqXbQ5FTaeOtxtyu7s74,"BitcoinBázis - Minden, Ami Kriptó",BitcoinBazis
https://i.scdn.co/image/ab67656300005f1f37fca93cbcdf8dc86a1cc407,https://open.spotify.com/show/2OI6IE424xjqKiKthYbJYJ,Stackuj: Bitcoinový Podcast,Stackuj.cz
https://i.scdn.co/image/ab67656300005f1f5c950cce2799d63b8808cd25,https://open.spotify.com/show/7w3EHLVuF3adK7MXjSxvaH,Bitcoin With Jake,Jake Woodhouse
https://i.scdn.co/image/ab67656300005f1f494efca3831b31bdc86de830,https://open.spotify.com/show/2g6W4MuSRZ2tlKqIFetBkx,Jednoducho Bitcoin,Dušan Matuška
https://i.scdn.co/image/ab67656300005f1f618c22922b382876b1bd8142,https://open.spotify.com/show/43D3C6iiX5SIqHuG3rgfgS,Because of Bitcoin,Ledn
https://i.scdn.co/image/ab67656300005f1f351164e4c28274f73e7c75e6,https://open.spotify.com/show/3HHq0g5pORxo82wXZihfOO,Why Bitcoin?,Why Bitcoin
https://i.scdn.co/image/ab67656300005f1fe9bbf78ffa5a09472b1eb579,https://open.spotify.com/show/1NQIkiCHVbQy8Cq0Ppmjwe,"Bitcoin Season 2 | Bitcoin Tech, Culture & Ordinals",Blockspace Media
https://i.scdn.co/image/ab67656300005f1ff1be32f09198da303563ef84,https://open.spotify.com/show/02GtzIsUyQm9X9bcxitDLK,Discovering Bitcoin,DJ
https://i.scdn.co/image/ab67656300005f1f08df5101a69194f464dcc253,https://open.spotify.com/show/4tincGXJNpmMUHYev73t3l,Bitcoin for Advisors,Morgen and Pierre Rochard
https://i.scdn.co/image/ab67656300005f1f2d87be2184e1547eff13e327,https://open.spotify.com/show/3fVsAvmfcWrcOgrXdACJAF,Discover Crypto,HIT Network
https://i.scdn.co/image/ab67656300005f1f363e3a958e75642be2dd71aa,https://open.spotify.com/show/69ttdE2Fwo9aMEAfR7Ncoj,Céline: Understood,CBC
https://i.scdn.co/image/ab67656300005f1f0df6ec085df49f347255e992,https://open.spotify.com/show/6jEPeE4yhsoZJrDRcs9dLN,Bitcoin Fixes This,Jimmy Song
https://i.scdn.co/image/ab67656300005f1f1f0a30fb75485e01e49a3b2e,https://open.spotify.com/show/1HT0TBMA2exny3JSOGUi1P,Bitcoin a blondýna,Měšec.cz
https://i.scdn.co/image/ab67656300005f1f70b9c949f8c9aa755f0056ee,https://open.spotify.com/show/3vrqaOakr5TMmHg3oOfw1q,Bitcoin d'Asporto,Bitcoin d'Asporto
https://i.scdn.co/image/ab67656300005f1f3a745d1a3577f726eec7f601,https://open.spotify.com/show/4aVuntMUSk8BLRhrcPVmOV,"Bitcoin2Go - Bitcoin, Kryptowährungen und Finanzen mit Mirco Recksiek",Bitcoin2Go
