title,link,podcaster
Limited Resources,https://podcasts.apple.com/ca/podcast/limited-resources/id385051731,Marshall Sutcliffe
TRIVIALITY - A Trivia Game Show Podcast,https://podcasts.apple.com/ca/podcast/triviality---a-trivia-game-show-podcast/id1232498158,Triviality Podcast
Sword AF,https://podcasts.apple.com/ca/podcast/sword-af/id1739798946,Smosh
Fair Game,https://podcasts.apple.com/ca/podcast/fair-game/id1523307706,Leah Remini & Mike Rinder
The Geekenders,https://podcasts.apple.com/ca/podcast/the-geekenders/id1745798674,The Geekenders
Around The Bar,https://podcasts.apple.com/ca/podcast/around-the-bar/id1710446957,Hitchariide
Watch Out for Fireballs!,https://podcasts.apple.com/ca/podcast/watch-out-for-fireballs!/id464108542,Duckfeed.tv
Retronauts,https://podcasts.apple.com/ca/podcast/retronauts/id672857593,Retronauts
Daily Fortnite,https://podcasts.apple.com/ca/podcast/daily-fortnite/id1366304985,Mikie’s Mixed Media
The Danger Room: A Marvel Crisis Protocol Podcast,https://podcasts.apple.com/ca/podcast/the-danger-room%3A-a-marvel-crisis-protocol-podcast/id1528040083,The Danger Room
Big Game Hunting Podcast,https://podcasts.apple.com/ca/podcast/big-game-hunting-podcast/id1462591474,John McAdams
MTGGoldfish Commander Clash Podcast,https://podcasts.apple.com/ca/podcast/mtggoldfish-commander-clash-podcast/id1556296355,"MTGGoldfish, Inc."
The Insert Credit Show,https://podcasts.apple.com/ca/podcast/the-insert-credit-show/id1651429066,insert credit
Gamefully Unemployed,https://podcasts.apple.com/ca/podcast/gamefully-unemployed/id1345692836,Gamefully Unemployed
The Unfiltered Show,https://podcasts.apple.com/ca/podcast/the-unfiltered-show/id1782320578,Score Media and Gaming
Le Salon de Gaming de Monsieur Smith,https://podcasts.apple.com/ca/podcast/le-salon-de-gaming-de-monsieur-smith/id1337262062,Steeve Tremblay
Board Game Barrage,https://podcasts.apple.com/ca/podcast/board-game-barrage/id1349078561,Board Game Barrage
Escape This Podcast,https://podcasts.apple.com/ca/podcast/escape-this-podcast/id1242630512,Escape This Podcast
Dungeons of Drakkenheim,https://podcasts.apple.com/ca/podcast/dungeons-of-drakkenheim/id1476022900,Dungeon Dudes
The Puzzler with A.J. Jacobs,https://podcasts.apple.com/ca/podcast/the-puzzler-with-a.j.-jacobs/id1709071922,iHeartPodcasts
The GamesIndustry.biz Microcast,https://podcasts.apple.com/ca/podcast/the-gamesindustry.biz-microcast/id1195829295,The GI.Biz Team
Campaign: Skyjacks,https://podcasts.apple.com/ca/podcast/campaign%3A-skyjacks/id927205926,James D'Amato
De L'Autre Côté du Plateau - Le Podcast de Jeux de Société,https://podcasts.apple.com/ca/podcast/de-l'autre-c%C3%B4t%C3%A9-du-plateau---le-podcast-de-jeux-de-soci%C3%A9t%C3%A9/id1567511686,Martin Montreuil
Across The Bifrost,https://podcasts.apple.com/ca/podcast/across-the-bifrost/id1476368366,Across The Bifrost
